Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
-141,,Estratovolcán,False,False,Etna (Italy)
1262,3,Volcán subglacial,False,False,Katla (Iceland)
1300,4,Estratovolcán,False,False,Hekla (Iceland)
1331,2,Caldera,False,False,Aso (Japan)
1714,,Volcán complejo,True,False,Vesuvius (Italy)
1907,,Volcán en escudo,True,False,Savai'i (Samoa)
1911,2,Volcán complejo,False,False,Asama (Japan)
1913,4,Estratovolcán,False,False,Colima (Mexico)
1944,3,Estratovolcán,False,False,Cleveland (United States)
1952,2,Volcán submarino,True,False,Myojun Knoll (Japan)
1960,3,Estratovolcán,True,True,Puyehue (Chile)
1971,2,Estratovolcán,False,False,La Palma (Spain)
1972,1,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1979,3,Estratovolcán,False,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1983,3,Estratovolcán,False,True,Miyake-jima (Japan)
1984,3,Estratovolcán,False,False,Etna (Italy)
1990,2,Caldera,False,False,Aso (Japan)
1991,2,Estratovolcán,False,False,Etna (Italy)
1994,3,Estratovolcán,False,False,Semeru (Indonesia)
2007,,Estratovolcán,False,False,Salak (Indonesia)
2017,2,Estratovolcán,False,False,Fuego (Guatemala)
2017,,Volcán en escudo,False,False,Aoba (Vanuatu)
2018,3,Volcán en escudo,False,False,Aoba (Vanuatu)
2019,2,Estratovolcán,True,False,Stromboli (Italy)
1593,5,Estratovolcán,False,False,Raung (Indonesia)
1609,,Cono piroclástico,False,False,Tengchong (China)
1692,4,Estratovolcán,False,False,Serua (Pacific Ocean)
1718,2,Estratovolcán,False,False,Pico (Portugal)
1846,,Caldera,False,False,Taupo (New Zealand)
1866,2,Volcán en escudo,False,False,Santorini (Greece)
1877,0,Volcán en escudo,True,True,Mauna Loa (United States)
1883,3,Cono de lava,False,False,Bagana (Papua New Guinea)
1886,4,Volcán en escudo,False,False,Niuafo'ou (Tonga)
1896,2,Volcán en escudo,False,False,Kirishima (Japan)
1902,4,Estratovolcán,True,False,Pelee (Martinique)
1914,,Volcán en escudo,False,False,Aoba (Vanuatu)
1923,1,Estratovolcán,False,False,Papandayan (Indonesia)
1928,2,Volcán en escudo,False,False,Santorini (Greece)
1947,,Estratovolcán,False,False,Akagi (Japan)
1963,5,Estratovolcán,True,False,Agung (Indonesia)
1963,2,Estratovolcán,False,False,Semeru (Indonesia)
1965,4,Estratovolcán,True,False,Taal (Philippines)
1973,3,Volcán submarino,False,False,Vestmannaeyjar (Iceland)
1974,3,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1975,0,Volcán en escudo,True,True,Kilauea (United States)
1982,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1986,3,Maar,False,False,Oku Volc Field (Cameroon)
1992,3,Estratovolcán,False,False,Semeru (Indonesia)
1994,3,Estratovolcán,False,False,Yasur (Vanuatu)
1998,,Estratovolcán,False,False,San Cristobal (Nicaragua)
2004,2,Estratovolcán,False,False,Tengger Caldera (Indonesia)
2007,,Estratovolcán,False,False,Huila (Colombia)
2008,,Caldera,False,False,Chaiten (Chile)
2008,3,Estratovolcán,True,False,Kasatochi (United States)
2017,,Estratovolcán,False,False,Merapi (Indonesia)
-4050,6,Caldera,False,False,Masaya (Nicaragua)
-2420,5,Volcán complejo,False,False,Vesuvius (Italy)
79,5,Volcán complejo,True,True,Vesuvius (Italy)
1375,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1376,3,Estratovolcán,False,False,Kelut (Indonesia)
1538,3,Caldera,False,False,Campi Flegrei (Italy)
1664,2,Volcán complejo,False,False,Unzen (Japan)
1698,3,Estratovolcán,False,False,Cotopaxi (Ecuador)
1775,3,Estratovolcán,False,False,Gamalama (Indonesia)
1800,2,Estratovolcán,False,False,Mayon (Philippines)
1822,4,Estratovolcán,False,False,Usu (Japan)
1822,5,Estratovolcán,False,False,Galunggung (Indonesia)
