Team,Nationality,Position,Age,Potential,Name
FC Barcelona ,Argentina,Delantero Centro|Media punta|Extremo izquierdo,33,Sobresaliente,Lionel Messi
Juventus ,Portugal,Delantero Centro|Extremo izquierdo,35,Sobresaliente,Cristiano Ronaldo
Paris Saint-Germain ,Brazil,Medio centro ofensivo|Extremo izquierdo,28,Sobresaliente,Neymar Jr
Liverpool ,Netherlands,Defensa central,29,Sobresaliente,Virgil van Dijk
Atlético Madrid ,Slovenia,Portero,27,Sobresaliente,Jan Oblak
Manchester City ,Belgium,Medio centro|Medio centro ofensivo,29,Sobresaliente,Kevin De Bruyne
FC Bayern München ,Poland,Delantero Centro,31,Sobresaliente,Robert Lewandowski
Real Madrid ,Belgium,Delantero Centro|Extremo izquierdo,29,Sobresaliente,Eden Hazard
Liverpool ,Brazil,Portero,27,Sobresaliente,Alisson
Liverpool ,Egypt,Delantero Centro|Extremo izquierdo,28,Sobresaliente,Mohamed Salah
Liverpool ,Senegal,Extremo izquierdo,28,Sobresaliente,Sadio Mané
FC Barcelona ,Germany,Portero,28,Sobresaliente,Marc-André ter Stegen
Manchester City ,Argentina,Delantero Centro,32,Sobresaliente,Sergio Agüero
Paris Saint-Germain ,France,Delantero Centro|Extremo izquierdo|Extremo izquierdo,21,Sobresaliente,Kylian Mbappé
Chelsea ,France,Medio centro ofensivo|Medio centro,29,Muy bueno,N'Golo Kanté
Tottenham Hotspur ,England,Delantero Centro,27,Sobresaliente,Harry Kane
FC Barcelona ,France,Delantero Centro|Media punta|Extremo izquierdo,29,Muy bueno,Antoine Griezmann
Real Madrid ,Germany,Medio centro,30,Muy bueno,Toni Kroos
Real Madrid ,Croatia,Medio centro,34,Muy bueno,Luka Modric
FC Barcelona ,Uruguay,Delantero Centro,33,Muy bueno,Luis Suárez
FC Bayern München ,Germany,Portero,34,Muy bueno,Manuel Neuer
Real Madrid ,Spain,Defensa central,34,Muy bueno,Sergio Ramos
Manchester City ,Brazil,Portero,26,Sobresaliente,Ederson
Manchester City ,England,Extremo izquierdo|Extremo izquierdo,25,Sobresaliente,Raheem Sterling
Liverpool ,Brazil,Media punta,28,Muy bueno,Roberto Firmino
Napoli ,Senegal,Defensa central,29,Sobresaliente,Kalidou Koulibaly
Real Madrid ,Brazil,Medio centro ofensivo,28,Muy bueno,Casemiro
Manchester United ,Spain,Portero,29,Muy bueno,De Gea
