Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,highstakes; Doctor; forcing,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,killer; uncovers; year,The Batman
Thriller,en,2022-02-25,6.3,Stranded; car; blizzard,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,decides; mountains; tale,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,wipe; plot; gather,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,makes; million; protect,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,secrets; shocked; Twentyfive,Scream
Thriller,en,2022-02-10,6.3,thing; report; Seeking,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,revenge; ancient; Bangkok,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,tragedy; Earth; aliens,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,hacker; Calloway’s; paths,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,humanity; believes; order,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,cover; going; cops,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,manipulating; talent; psychiatrist,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,Crash; off; fearless,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,mismatched; across; each,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,infamous; Texas; wears,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,getaway; order; circle,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,if; clock; Savi,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,Notice; profiler; telling,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,singers; embark; casting,Sing 2
Horror,en,2022-01-03,5.4,see; six; would,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,host; Eddie; enemy,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,Neos; inside; Matrix,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,Corporation; Once; great,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,escaped; deadly; cure,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,small; wealthy; An,American Siege
"Action, Adventure",en,2022-02-10,7.1,pursuit; Drake; embark,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,Zenitsu; boars; scared,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,left; arrive; single,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,together; government; chaos,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,past; thought; organization,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,learns; instead; Music,Marry Me
Horror,en,2022-01-21,5.8,small; forest; wildlife,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,tragedy; between; respective,West Side Story
"Romance, Drama",es,2022-02-04,7.8,neighbor; nextdoor; crush,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,Meliodas; each; Demons,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,prisoner; covert; trapped,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,some; damsel; what,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,exclusion; could; made,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,mother; shootout; asks,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,small; fight; spurt,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,And; greatgrandsons; any,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,Templeton; again; brothers,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,excited; panda; teenager,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,expertise; sisters; need,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,eras; tied; anxious,The House
"Action, Thriller",en,2022-02-10,5.1,Travis; highest; specializes,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,same; talking; buddy,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,called; realizes; game,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,sets; 1970s; fashionable,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,collection; remote; Bloodsport,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,Simpsons; across; Day,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,down; daring; makes,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,below; summer; just,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,Emperor; Earths; Washedup,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,metahumans; vain; plans,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,unexpected; boyfriend; Georgia,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,battle; 16yearold; breaks,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,explode; Atreides; unlocking,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,Belogorie; old; peace,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,attending; strange; looking,The Privilege
Horror,en,2021-06-11,6.4,horrors; Four; could,Queen of Spades
