Día y hora,Nivel,Nick,Puntaje,Edad,Género autopercibido
2022-06-18 00:58,Normal,Yayo,68,56,No Responde
2022-06-18 01:06,Difícil,Yayo,0,56,No Responde
2022-06-18 01:09,Fácil,Yayo,5,56,No Responde
2022-06-18 01:11,Difícil,Yayo,6,56,No Responde
2022-06-18 01:12,Difícil,Yayo,0,56,No Responde
2022-06-18 09:48,Fácil,Yoda,66,90,Otro
2022-06-18 09:55,Difícil,Yoda,20,90,Otro
2022-06-18 21:18,Fácil,Yoda,24,90,Otro
2022-06-19 17:40,Fácil,NEO,23,80,Masculino
2022-06-20 11:38,Fácil,Yoda,45,90,Otro
2022-06-20 22:53,Fácil,NEO,29,80,Masculino
2022-06-21 10:22,Fácil,Trinity,30,55,Femenino
2022-06-21 20:45,Personalizado,Trinity,14,55,Femenino
2022-06-21 20:45,Personalizado,Trinity,23,55,Femenino
2022-06-21 20:46,Personalizado,Trinity,52,55,Femenino
2022-06-22 11:42,Difícil,Yayo,0,56,No Responde
2022-06-22 11:45,Personalizado,Yayo,0,56,No Responde
2022-06-22 11:46,Personalizado,NEO,0,80,Masculino
2022-06-22 11:46,Personalizado,NEO,141,80,Masculino
2022-06-22 11:47,Personalizado,Trinity,0,55,Femenino
2022-06-23 11:55,Difícil,Amelia,0,30,Femenino
2022-06-23 11:56,Difícil,kaggel,30,28,No Binario
2022-06-23 15:41,Difícil,NEO,22,80,Masculino
2022-06-23 15:41,Difícil,NEO,22,80,Masculino
2022-06-23 16:06,Difícil,kaggel,0,28,No Binario
2022-06-24 10:17,Difícil,Amelia,0,30,Femenino
2022-06-24 14:12,Normal,Fuwa,33,19,Femenino
2022-06-24 14:13,Difícil,Fuwa,99,19,Femenino
2022-06-24 14:14,Fácil,Fuwa,219,19,Femenino
2022-06-24 14:16,Fácil,Fuwa,99,19,Femenino
2022-06-24 14:17,Fácil,Fuwa,28,19,Femenino
2022-06-24 14:18,Normal,Fuwa,160,19,Femenino
2022-06-24 14:19,Difícil,Fuwa,42,19,Femenino
2022-06-24 16:46,Fácil,NEO,0,80,Masculino
2022-06-23 18:33,Personalizado,Amelia,0,30,Femenino
2022-06-23 18:33,Personalizado,NEO,75,80,Masculino
2022-06-23 18:34,Difícil,NEO,0,80,Masculino
2022-06-23 18:37,Difícil,kaggel,0,28,No Binario
2022-06-24 18:39,Difícil,kaggel,27,28,No Binario
2022-06-24 19:10,Difícil,Fuwa,26,19,Femenino
2022-06-24 20:25,Difícil,holaf,6,20,Trans
